id,label
8001,Fake
8002,Fake
8003,Fake
8004,Fake
8005,True
8006,True
8007,Fake
8008,True
8009,True
8010,True
8011,Fake
8012,Fake
8013,Fake
8014,Fake
8015,True
8016,Fake
8017,True
8018,Fake
8019,True
8020,True
8021,Fake
8022,True
8023,True
8024,True
8025,Fake
8026,True
8027,Fake
8028,True
8029,Fake
8030,True
8031,Fake
8032,Fake
8033,Fake
8034,Fake
8035,True
8036,True
8037,Fake
8038,Fake
8039,Fake
8040,Fake
8041,True
8042,True
8043,Fake
8044,Fake
8045,True
8046,Fake
8047,Fake
8048,Fake
8049,True
8050,True
8051,Fake
8052,True
8053,Fake
8054,True
8055,True
8056,Fake
8057,Fake
8058,Fake
8059,Fake
8060,True
8061,True
8062,Fake
8063,True
8064,Fake
8065,True
8066,True
8067,True
8068,Fake
8069,True
8070,Fake
8071,True
8072,Fake
8073,True
8074,True
8075,True
8076,Fake
8077,True
8078,Fake
8079,Fake
8080,Fake
8081,True
8082,Fake
8083,Fake
8084,Fake
8085,True
8086,True
8087,True
8088,True
8089,True
8090,Fake
8091,True
8092,Fake
8093,True
8094,True
8095,True
8096,Fake
8097,Fake
8098,Fake
8099,Fake
8100,True
8101,True
8102,Fake
8103,True
8104,Fake
8105,Fake
8106,Fake
8107,Fake
8108,Fake
8109,True
8110,Fake
8111,True
8112,Fake
8113,Fake
8114,True
8115,True
8116,Fake
8117,Fake
8118,Fake
8119,Fake
8120,Fake
8121,Fake
8122,True
8123,True
8124,True
8125,Fake
8126,Fake
8127,Fake
8128,Fake
8129,True
8130,Fake
8131,Fake
8132,Fake
8133,Fake
8134,Fake
8135,True
8136,Fake
8137,True
8138,Fake
8139,True
8140,True
8141,Fake
8142,Fake
8143,Fake
8144,Fake
8145,Fake
8146,Fake
8147,Fake
8148,Fake
8149,True
8150,Fake
8151,True
8152,Fake
8153,Fake
8154,Fake
8155,Fake
8156,Fake
8157,Fake
8158,True
8159,Fake
8160,True
8161,Fake
8162,True
8163,Fake
8164,Fake
8165,Fake
8166,Fake
8167,Fake
8168,Fake
8169,Fake
8170,Fake
8171,Fake
8172,Fake
8173,True
8174,Fake
8175,True
8176,True
8177,Fake
8178,True
8179,Fake
8180,True
8181,Fake
8182,Fake
8183,Fake
8184,True
8185,Fake
8186,True
8187,True
8188,Fake
8189,Fake
8190,Fake
8191,Fake
8192,Fake
8193,Fake
8194,Fake
8195,Fake
8196,Fake
8197,True
8198,Fake
8199,True
8200,Fake
8201,Fake
8202,True
8203,Fake
8204,True
8205,True
8206,Fake
8207,True
8208,Fake
8209,True
8210,True
8211,Fake
8212,True
8213,Fake
8214,Fake
8215,Fake
8216,Fake
8217,True
8218,Fake
8219,True
8220,True
8221,Fake
8222,True
8223,Fake
8224,Fake
8225,Fake
8226,Fake
8227,Fake
8228,True
8229,Fake
8230,True
8231,True
8232,True
8233,True
8234,True
8235,True
8236,Fake
8237,True
8238,True
8239,True
8240,Fake
8241,Fake
8242,True
8243,Fake
8244,True
8245,Fake
8246,True
8247,Fake
8248,Fake
8249,True
8250,Fake
8251,Fake
8252,True
8253,True
8254,True
8255,Fake
8256,Fake
8257,True
8258,Fake
8259,True
8260,Fake
8261,Fake
8262,Fake
8263,Fake
8264,Fake
