ID,HEADLINE,TEXT
1,Covid-19: mentiras que matan,"El control de la Covid-19 no es sólo un tema de médicos y el resto del personal sanitario y científico. Por desgracia o por fortuna, es un asunto esencialmente político que se decide por hombres y mujeres que se dedican a la política. De las creencias y opiniones de estos últimos, depende el éxito o el fracaso de las acciones que se implementen.

Los éxitos en la toma de decisiones salvan vidas y naciones; obviamente, los errores matan y más si están acompañados de mentiras y medias verdades. En este sentido, durante el pasado Pulso de la Salud (9 de febrero) el presidente López rompió un récord: en los primeros diez minutos había dicho tres mentiras graves o medias verdades, que también son mentiras. El problema con esto es que las mentiras matan.

En esa ocasión, López Obrador dijo que “afortunadamente” se estaban reduciendo los contagios en todo el país. Poco después, el subsecretario López-Gatell fue por este camino y complementó con la tesis de que en las últimas dos semanas había una tendencia a la baja. Esta es una verdad a medias. Desde principios de diciembre pasado, varios expertos habían supuesto que luego del Buen Fin y de las fiestas conocidas como Guadalupe-Reyes (12 de diciembre-6 de enero) habría un pico de contagios y muertes, pero que luego regresaríamos a la siniestra y mortal meseta en la que estamos (más de ocho mil contagios y 900 muertes promedio al día).

Se especulaba que para el 20 de enero se regresaría a los números de principios de diciembre. No fue así, el efecto del Guadalupe-Reyes se sintió a lo largo de todo enero, que fue un mes desastroso y mortífero, el peor desde que comenzó la pandemia. No toda la culpa es gubernamental en esta tragedia, las necesidades económicas que hacen salir a la gente y el no acatar reglas básicas han aportado su parte. Pero, en todo caso, para qué decir medias verdades y asegurar que hay una tendencia a la baja con tan solo dos semanas de (malas) cuentas. Había que decir que no hay que confiarse y señalar lo que es: la pandemia está descontrolada. Pero es la mañanera citada el presidente fue más allá: aseguró que no ha habido protestas de los médicos y el personal sanitario, como demostración de que avalan su política (es un decir). Esta es una gran mentira, las protestas de médicos, enfermeras, camilleros, químicos y personal relacionado comenzaron en marzo del año pasado y prosiguieron durante todo 2020. Coahuila, Baja California, CDMX, Edomex y muchos otros conocieron una petición constante: suministros para protección tales como guantes, batas, lentes, caretas, etc. Desde marzo hasta ahora más de 300 protestas y quejas en las calles, en los hospitales y centros de salud, en cartas dirigidas a los medios, en plantones y en renuncias. Personal médico durmiendo donde podía o en sus autos para evitar llevar la muerte a sus casas.

Con la llegada de las vacunas en diciembre hubo una nueva demanda: aplicar las vacunas al personal de primera línea, el que tiene contacto con los enfermos. La queja era porque en varios puntos del país la vacuna se aplicó a directivos y sus familiares.  En la desorganización de la recepción y aplicación de las vacunas y su uso político se vacuna a maestros de Campeche que no dan clases, que no están en la primera línea.

La tercera mentira fue la de asegurar que nunca había sido rebasada la capacidad de camas y equipo. Cualquier revisión a la prensa de los últimos meses relata una o varias historias de personas que buscaron durante días un lugar para un familiar enfermo. Algunos lo lograron, otros no. También de personas conocidas que murieron en sus casas porque las rechazaron en los hospitales por no estar “suficientemente” enfermos.

Ese es el panorama y esas son las mentiras y medias verdades. Es cierto que no somos el único país en donde faltan suministros, camas, equipo y muere personal médico, pero somos una nación que no está evolucionando favorablemente ante la Covid-19. Desde septiembre, Amnistía Internacional y la publicación The Lancet dieron cuenta de que muere más personal médico en México que en cualquier otra parte del mundo. La demagogia, la insensibilidad y las mentiras son algo peor que la infodemia y más cuando se da con la complicidad de todo el gabinete.

La esperanza de las vacunas está disminuyendo ante el temor de que su efectividad no sea la que se busca en todas las poblaciones y que las nuevas cepas “arrasen el mundo”, como dijo una experta británica. Al ritmo que va la vacunación en nuestro país, es muy posible que el vendaval de contagios y muertes nos arrastre todavía más."
2,El Gobierno podrá acceder a las IPs de los móviles: sabrá el nombre de los manifestantes contra Pedro Sánchez,"El Gobierno de Pedro Sánchez y Pablo Iglesias ha encontrado la excusa perfecta para vulnerar la privacidad de los españoles a través de una norma que ha sido diseñada para controlar el orden público en las calles y las comunicaciones en concentraciones, protestas y manifestaciones de todo tipo, incluidas las que se produzcan contra Pedro Sánchez. Según informa el periodista de OKDIARIO, Carlos Cuesta, el Ministerio del Estado de Fernando Grande-Marlaska, podría intervenir las redes sociales y los servicios de comunicaciones de forma puntual siempre que exista un riesgo objetivo y grave para el orden público, la seguridad nacional o la seguridad pública.

Este jueves se confirmaba que servicios de mensajería como Telegram y WhatsApp podrían ser usados para enviar mensajes en situaciones de emergencia pero según detalla el diario digital de Eduardo Inda, esa intervención permitirá al Gobierno conocer la IP de cada terminal que se conecta, existiendo la posibilidad de identificar a las personas que estén en una manifestación.

El anteproyecto que está siendo tramitado por el Ministerio del Interior forma parte de la nueva Ley General de Telecomunicaciones, donde se ha incluido una cláusula con la que se da acceso directo a la Policía en casos excepcionales. En caso de que las empresas incumplan estas obligaciones de servicio público, el Gobierno se reserva la posibilidad de invertir o gestionar los servicios o la explotación de redes.

Con esta nueva medida, el Gobierno de Pedro Sánchez avanza en su voluntad de poder controlar con mayor facilidad a los organizadores de las protestas contra el Ejecutivo. Antes de verano, ya se dio la orden de identificar a los ciudadanos que promovían las caceroladas contra el Gobierno en diversas zonas de Madrid y de todo el territorio nacional."
3,La comunidad musulmana catalana denuncia a Vox por incitar al odio,"Las tres federaciones que agrupan al 90% de las mezquitas llevan al fiscal la campaña ultra que identifica Islam con terrorismo
Las tres mayores federaciones musulmanas islámicas de Cataluña han denunciado los ataques de Vox contra los fieles de su religión ante el fiscal encargado de perseguir los delitos de odio y discriminación en esa comunidad autónoma.

Las tres organizaciones (Unió de Comunitats Islàmiques de Catalunya, Federació Consell Islàmic de Catalunya y Federació Islámica de Catalunya), que agrupan más del 90% de las 330 mezquitas de Cataluña y está reconocidas como interlocutores de la comunidad musulmana por la Administración, denuncian la campaña #StopIslamición, lanzada por el partido ultra a través de las redes sociales para las elecciones autonómicas del 14 de febrero.

Entre otros mensajes de tinte xenófobo, la denuncia se centra en un vídeo en el que se mezclan Noticia relacionadas con la comunidad musulmana en Cataluña (la puesta en marcha de un plan piloto para impartir la religión islámica como asignatura optativa en las escuelas o la construcción de una mezquita) con imágenes de los atentados del 17 de agosto de 2017 en las Ramblas de Barcelona, y se representa a los musulmanes “como extranjeros peligrosos, sospechosos o potencialmente terroristas”. Según la denuncia, el vídeo utiliza imágenes tomadas en otros países, como la de mujeres con burka, una vestimenta propia de Afganistán, “para reforzar la idea de atavismo y atraso de los musulmanes” que viven en Cataluña.

Con 564.055 musulmanes, de los que más de 200.000 tienen nacionalidad española, según el último estudio demográfico de la Unión de Comunidades Islámicas de España, Cataluña es la comunidad autónoma con más fieles de dicha religión.

La denuncia, que también suscribe Musulmanes contra la Islamofobia, una asociación defensora de los derechos civiles, sostiene que la difusión del vídeo en plena campaña electoral “busca generar un clima de miedo en la opinión pública […] con la finalidad de conseguir el mayor número de votos”, a costa de provocar “la estigmatización de las personas musulmanas en Cataluña”.

La denuncia se apoya, entre otros argumentos, en la jurisprudencia del Tribunal Europeo de Derechos Humanos, que sostiene que “la incitación al odio no requiere el llamamiento a un acto concreto de violencia” y que “injuriar, ridiculizar o difamar a partes de la población […] es suficiente para que las autoridades privilegien la lucha contra el discurso racista frente a una libertad de expresión que atenta contra la dignidad e incluso seguridad” de comunidades concretas.

Con independencia del “reproche social, moral o ético” que merezca la campaña de Vox, las federaciones musulmanas piden a la Fiscalía que investigue si los autores del vídeo han incurrido en un delito de incitación al odio o la discriminación contra un grupo de personas por razón de su religión, castigado con hasta cuatro años de cárcel.

El vídeo, con más de 43.000 reproducciones solo en Twitter, sigue accesible en esta red social a pesar de que sus responsables bloquearon el pasado jueves, durante una semana, la cuenta oficial del partido ultra por incitación al odio.

La vicesecretaria jurídica de Vox, Marta Castro, presentó el lunes una querella ante los juzgados de guardia de Madrid contra la responsable en España de Twitter, Nathalie Picquot. En ella se alega que el bloqueo de su cuenta supone una lesión de derechos fundamentales, la imputación falsa de un delito de odio y la comisión de otro de injurias y calumnias. Vox pide que se levante de inmediato el bloqueo de su cuenta alegando que impide a sus candidatos competir en igualdad de condiciones en la campaña electoral catalana.

Vox ha anunciado una reforma legal, inspirada en el proyecto del partido ultraconservador polaco Ley y Justicia, para que las redes sociales puedan ser sancionadas e incluso perseguidas penalmente por censurar contenidos.

Vox ha sido repetidamente condenado por asociaciones de la prensa y colegios de periodistas por vetar el acceso de periodistas y medios de comunicación a sus ruedas de prensa y actos públicos."
4,,"Se han dado a conocer los datos electorales preliminares de las Personas Privadas de Libertad (PPL), que en Ecuador votan en primer lugar. La media de los resultados asienta la tendencia marcada desde hace semanas por la mayoría de las encuestadoras; Andrés Arauz consigue un 40,8% del voto, con una diferencia de 17 puntos sobre Guillermo Lasso, el segundo.

Estos números no se pueden usar para realizar una extrapolación perfecta a todo el país, porque la población de las cárceles no es una muestra estadística que sirva para un estudio demoscópico nacional, sin embargo demuestran ciertas claves que adelantan la probable victoria de Andrés Arauz en esta primera vuelta, sin necesidad de acudir a una segunda cita electoral.

En primer lugar se evidencia que la mayoría de las encuestas han acertado al señalar una tendencia al alza de Andrés Arauz, que explotó a partir del debate presidencial. Las casas encuestadoras han sido moderadas en sus cocinas a la hora de contener la subida del candidato progresista porque en la nación hay muchos electores que no se atreven a desvelar su voto por el de la Lista 1, a causa de la imagen negativa que el gobierno y sus aliados han creado de la izquierda en sus medios de comunicación."
5,El censo poblacional 2018 tendrá un costo de $350.000 millones,"La primera fase del censo será virtual y solo hasta abril próximo iniciarán las encuestas puerta a puerta. Este martes 9 de enero iniciará la primera etapa correspondiente a la recolección de información del Censo Nacional de Población y Vivienda de 2018.

La inversión para la realización del Censo es de 350.000 millones de pesos, con vigencias futuras del 2016 y 2017, informó este lunes festivo Caracol Radio.

La primera fase del proceso será virtual y solo hasta abril próximo iniciará la etapa en la que se realizarán las encuestas puerta a puerta y persona a persona en todo el territorio nacional, proceso que finalizará en junio.

Según Mauricio Perfetti, director del Departamento Administrativo Nacional de Estadística (Dane), los funcionarios del Estado deberán participar obligatoriamente en esta etapa virtual, mientras que las demás personas podrán optar por esta alternativa voluntariamente.

Los primeros departamentos y ciudades en ser censados presencialmente serán los que albergan cerca de 60% de la población de Colombia.

Cabe recordar que con dos días de anterioridad aproximadamente se notificará la fecha del censo, para que quien vaya a atender al encuestador pueda ajustar su horario de trabajo y preparar la información de cada integrante del hogar. Se debe tener en la cuenta que dicha persona debe ser mayor de 18 años.

Además, si por motivos de fuerza mayor el día de la visita no hay nadie en el hogar, el censista reprogramará la visita para el día siguiente. El intento del censo se hará máximo dos veces adicionales a la primera.

En caso de que no se atiendan las visitas y tampoco se haya realizado el eCenso, tras una investigación, el Dane podrá imponer las multas correspondientes."
6,,"Boooomm
MUJERES VACUNADAS DE COVID ESTÁN MOSTRANDO EFECTOS SECUNDARIOS TÍPICOS DE CANCER DE MAMA
Los médicos de Intermountain Healthcare’s Breast Care Centre de Utah, USA, anuncian nuevas pautas de mamografías para las mujeres vacunadas contra Covid-19 recientemente.
Los médicos han observado inflamación de los ganglios linfáticos en las mamografías de detección de mujeres que se vacunaron recientemente contra COVID-19. 
""Siempre que los vemos en una mamografía de detección normal, llamamos a esas pacientes porque puede significar cáncer de mama metastásico que viaja a los ganglios linfáticos o linfoma o leucemia"".
“Con la vacuna Moderna están habiendo estos síntomas aproximadamente un 11% después de la primera dosis y un 16% después de la segunda dosis. Creemos que también es comparable para la vacuna Pfizer."
7,Fauci dice que fue sacado de contexto en un nuevo anuncio de campaña de Trump que promociona la respuesta al coronavirus,"El Dr. Anthony Fauci no consintió en aparecer en un nuevo anuncio de la campaña de Trump que promociona el manejo del presidente Donald Trump de la pandemia de coronavirus. En cambio, el principal experto en enfermedades infecciosas del país le dijo a CNN que sus palabras fueron sacadas de contexto. En mis casi cinco décadas de servicio público, nunca he respaldado públicamente a ningún candidato político. Los comentarios que se me atribuyeron sin mi permiso en el anuncio de la campaña republicana fueron sacados de contexto de una amplia declaración que hice hace meses sobre los esfuerzos de funcionarios de salud pública», dijo Fauci en un comunicado proporcionado exclusivamente a CNN cuando se le preguntó si aceptó aparecer en el anuncio. La campaña de Trump lanzó el nuevo anuncio la semana pasada después de que el presidente fuera dado de alta del Centro Médico Militar Nacional Walter Reed luego del tratamiento por covid-19. El anuncio de 30 segundos, que se transmite en Michigan, promociona la experiencia personal de Trump con el virus y usa una cita de Fauci en un intento de que parezca que está elogiando la respuesta de Trump.

«El presidente Trump se está recuperando del coronavirus, y también Estados Unidos», dice el narrador del anuncio. «Juntos nos levantamos para enfrentar el desafío, protegiendo a nuestros adultos mayores, proporcionándoles medicamentos que salvan vidas en un tiempo récord, sin escatimar gastos». Luego, el anuncio muestra una entrevista con Fauci en la que dice: «No puedo imaginar a alguien que pueda estar haciendo más».

Aunque no se proporciona una fecha en el anuncio, la cita de Fauci es de una entrevista con Fox News en marzo. Durante esa entrevista, Fauci elogió el esfuerzo ininterrumpido del grupo de trabajo sobre el coronavirus de la Casa Blanca para responder a la pandemia, que según él incluyó numerosas reuniones en la Casa Blanca y llamadas telefónicas nocturnas.

«Nunca hemos tenido una amenaza como esta. La respuesta coordinada ha sido … Hay una serie de adjetivos para describirla; impresionante, creo que es uno de ellos. Hablamos de manos a la obra, como una de muchas personas en un equipo, no soy la única persona», dijo Fauci en ese momento. «Desde el principio, que incluso reconocimos lo que era, he dedicado casi todo el tiempo a esto. Estoy en la Casa Blanca prácticamente todos los días con el grupo de trabajo. Es todos los días. Así que no puedo imaginar que, bajo cualquier circunstancia, alguien que pueda estar haciendo más».

En respuesta a Fauci diciendo que el anuncio sacaba sus palabras de contexto, el director de comunicaciones de la campaña de Trump, Tim Murtaugh, dijo: «Estas son las propias palabras del Dr. Fauci. El video es de una entrevista televisiva de transmisión nacional en la que el Dr. Fauci elogiaba el trabajo de la Administración de Trump. Las palabras pronunciadas son precisas y provienen directamente de la boca del Dr. Fauci».

El uso de Fauci en el nuevo anuncio pareció ser un reconocimiento por parte de la campaña de Trump de que el médico es una voz en la que los votantes confían cuando se trata de la pandemia. Trump ha comparado en privado y en público la aprobación de Fauci con la suya propia."
8,Franja naranja de estado de guerra en chile,"Los bbrazalete sanitarios estan normados bajo el tratado de ginebra, este distintivo solamente se usa en tiempos de guerra y es para atender a los heridos, pues Sebastián Piñera como ve guerra y enemigos poderosos por todos lados, no tuvo ningun problema en no acatar esta norma y utilizó junto a parte de su gabinete, este distintivo que salva vidas en tiempos de guerra.

Sin límites, Piñera ocupa distintivo de guerra para potenciar su discurso del «enemigo poderoso» por Covid_19,
Cabe señalar que los Convenios de Ginebra impiden llevar ese brazalete ya que es un distintivo sanitario en tiempos de guerra.

El Presidente de la República ha cambiado su estrategia comunicacional. Tras el debilitamiento de su imagen producto del Estallido Social, el mandatario ha tomado un nuevo estilo que refuerza su «liderazgo».

No obstante, fue tan evidente el cambio de switch que no pasó desapercibido en redes sociales, las que viralizan memes con imagenes editadas del Jefe de Estado. Ahora bien, esta noche el Presidente dio un salto y lució un llamativo brazalete rojo en su brazo izquierdo. También lo llevaban consigo el alcalde de Santiago, Felipe Alessandri y el Ministro de Desarrollo Social, Sebastián Sichel.

Aparentemente, se trataba de un distintivo que aludía a la emergencia sanitaria y al programa de ayudas anunciado por el mandatario para ir en apoyo a las personas en situación de calle. Pese a esto, es de conocimiento público que un Jefe de Estado no puede utilizar dicho brazalete, lo cual está establecido en los convenios de Ginebra. ¿Por qué? Ya que representa un distintivo sanitario en tiempos de guerra. "
9,Francia decreta el estado de emergencia y el toque de queda con la mitad de incidencia que Madrid ,"El Gobierno de Francia declarará el estado de emergencia, el equivalente al estado de alarma español, a partir de este sábado. Los últimos datos de incidencia acumulada en París son de 250 casos de Covid-19, la mitad que la Comunidad de Madrid, que ya ha bajado de los 500 casos según el Ministerio de Sanidad. 

El presidente francés, Emmanuel Macron, anunció este miércoles un toque de queda en París y otras ocho áreas metropolitanas ante el agravamiento de la situación hospitalaria por culpa del coronavirus.

El toque de queda será de 21.00 a 6.00 hora local y comenzará a partir del próximo sábado, con una duración inicial de cuatro semanas ampliables a seis, detalló el presidente en una entrevista televisiva. El toque de queda, vigente a partir del sábado entre las nueve de la noche y las seis de la mañana, se prolongará un mínimo de cuatro semanas. Para alargarlo hasta seis semanas, como desea Macron, hará falta la autorización del Parlamento francés.

""Tenemos que tomar medidas más estrictas"" porque ""estamos en una situación preocupante"", afirmó Macron. El objetivo de la medida es frenar el crecimiento de los contagios a fin de que el actual ritmo pase de los aproximadamente 20.000 diarios al nivel de 3.000-5.000, añadió.
Confinamiento general

Macron aseguró que un reconfinamiento general de la población, como el vivido la pasada primavera, ""sería desproporcionado"", por lo que el toque de queda ""es una medida pertinente"".

""No se podrá ir al restaurante después de las 21.00, no se podrá ir a fiestas a casa de los amigos"", explicó el presidente, quien avanzó que habrá controles policiales y multas para los infractores de hasta 135 euros, igual que un sistema de autorizaciones para quienes tengan que salir por trabajo o motivos ineludibles.

Esta intervención de Macron en horario de máxima audiencia televisiva, se produjo mientras la situación se está agravando en las principales zonas metropolitanas de Francia a pesar de medidas restrictivas tomadas en las últimas semanas, como la obligatoriedad del uso local de mascarillas, el cierre de bares o un protocolo más rígido en restaurantes. Situación seria

La situación es especialmente seria en la región de París (Isla de Francia), donde el índice de casos positivos es de 320,9 por cada 100.000 habitantes y los pacientes de Covid-19 ocupan ya el 45% de todas las camas de cuidados intensivos en los hospitales, según datos comunicados hoy a Efe por las autoridades sanitarias regionales. Además, el 17% de todos los test realizados en la región parisina en el último día dieron resultado positivo.

Macron recalcó que en los hospitales se han aplazado operaciones quirúrgicas para asegurar que había camas de cuidados intensivos para los pacientes de coronavirus, pero ""ya no tenemos camas de reserva. Por eso debemos tomar medidas más estrictas"".

Además de la región de París, las otras áreas metropolitanas con toque de queda serán Marsella-Aix en Provence, Lyon, Lille, Grenoble, Montpellier, Toulouse, Rouen y Saint Etienne. La pandemia ha causado ya 33.000 muertes en Francia, según las últimas cifras oficiales disponibles. "
10,"Con 1.356 vacunas, Norte de Santander inició inmunización contra el covid-19","Cúcuta (Norte de Santander), 19 de febrero de 2021. – En el marco del inicio del Plan Nacional de Vacunación contra el Covid-19, la ciudad de Cúcuta aplicó hoy, 19 de febrero, la primera vacuna en la ESE Hospital Universitario Erasmo Meoz a la médica, Zulma Urbina.

Al respecto, Germán Escobar Morales, jefe de Gabinete del Ministerio de Salud y Protección Social, indicó durante la jornada de inmunización, que se espera vacunar inicialmente a 336 profesionales de la salud y continuar con este proceso con las demás instituciones no sólo de la ciudad de Cúcuta sino del resto del departamento.

""Es de gran importancia que esta actividad de vacunación inicie en una institución tan icónica como es el Hospital Erasmo Meoz. Recordemos que la próxima semana llegarán otras 50 mil dosis del laboratorio Pfizer que seguirán estando destinadas a los profesionales de la salud de primera línea"", dijo en la intervención.

A su turno, la trabajadora de la salud en la primera línea de atención al covid-19 del Hospital Erasmo Meoz, oriunda de Arboledas (Norte de Santander), madre de familia y especialista en cuidado intensivo, expresó sentirse afortunada luego de ser vacunada. ""Siento un compromiso mayor de seguir cuidándome. Invito también a los colegas médicos que van a ser priorizados y a la población mayor de 80 años próxima a vacunarse, a que sigan utilizando las medidas de bioseguridad como el tapabocas, el distanciamiento físico y el lavado de manos, que es la única manera de salir de esta pandemia"", indicó.

Al respecto añadió Carlos Arturo Martínez, secretario de Salud de Norte de Santander que ""al iniciarse el proceso de vacunación en el departamento con los profesionales de la salud en la primera línea de atención, y con la garantía de las primeras 1.356 dosis, se empieza a cubrir a la población. De la misma manera a partir del 28 de febrero se estaría iniciando la inmunización a adultos mayores de 80 años"".

El Gobierno Nacional y el Ministerio de Salud y Protección Social siguen con el compromiso de la puesta en marcha del Plan Nacional de Vacunación contra el covid-19 para la inmunización de 35 millones de colombianos. El compromiso ahora es acudir a las citas y mantener las medidas de autocuidado para que juntos podamos avanzar."
